_id,year,month,idgeo,isoalpha3,source,indicator,area,quintile,sex,education_level,age,ethnicity,value,se,cv,sample,language,collection_en,collection_es,theme_en,theme_es,disability,migration,management,funding
101,1985,NA,NA,PAN,UNESCO-UIS,XGDP.FSGOV,Total,Total,Total,Total,Total,Total,0.035214600563049,NA,NA,NA,Total,International Organizations,Organizaciones internacionales,Education,Educación,Total,Total,Total,Total
102,1985,NA,NA,ARG,UNESCO-UIS,XGDP.FSGOV,Total,Total,Total,Total,Total,Total,0.0136186003685,NA,NA,NA,Total,International Organizations,Organizaciones internacionales,Education,Educación,Total,Total,Total,Total
103,1985,NA,NA,TTO,UNESCO-UIS,XGDP.FSGOV,Total,Total,Total,Total,Total,Total,0.05767749786377,NA,NA,NA,Total,International Organizations,Organizaciones internacionales,Education,Educación,Total,Total,Total,Total
104,1985,NA,NA,HTI,UNESCO-UIS,XGDP.FSGOV,Total,Total,Total,Total,Total,Total,0.009692900180817,NA,NA,NA,Total,International Organizations,Organizaciones internacionales,Education,Educación,Total,Total,Total,Total
105,1985,NA,NA,PRY,UNESCO-UIS,XGDP.FSGOV,Total,Total,Total,Total,Total,Total,0.01395849943161,NA,NA,NA,Total,International Organizations,Organizaciones internacionales,Education,Educación,Total,Total,Total,Total
106,1985,NA,NA,DOM,UNESCO-UIS,XGDP.FSGOV,Total,Total,Total,Total,Total,Total,0.012101900577545,NA,NA,NA,Total,International Organizations,Organizaciones internacionales,Education,Educación,Total,Total,Total,Total
107,1985,NA,NA,COL,UNESCO-UIS,XGDP.FSGOV,Total,Total,Total,Total,Total,Total,0.027152700424194,NA,NA,NA,Total,International Organizations,Organizaciones internacionales,Education,Educación,Total,Total,Total,Total
108,1985,NA,NA,URY,UNESCO-UIS,XGDP.FSGOV,Total,Total,Total,Total,Total,Total,0.025667901039124,NA,NA,NA,Total,International Organizations,Organizaciones internacionales,Education,Educación,Total,Total,Total,Total
109,1985,NA,NA,ECU,UNESCO-UIS,XGDP.FSGOV,Total,Total,Total,Total,Total,Total,0.052333498001099,NA,NA,NA,Total,International Organizations,Organizaciones internacionales,Education,Educación,Total,Total,Total,Total
110,1986,NA,NA,PAN,UNESCO-UIS,XGDP.FSGOV,Total,Total,Total,Total,Total,Total,0.033457400798798,NA,NA,NA,Total,International Organizations,Organizaciones internacionales,Education,Educación,Total,Total,Total,Total
111,1986,NA,NA,CRI,UNESCO-UIS,XGDP.FSGOV,Total,Total,Total,Total,Total,Total,0.044202699661255,NA,NA,NA,Total,International Organizations,Organizaciones internacionales,Education,Educación,Total,Total,Total,Total
112,1986,NA,NA,ECU,UNESCO-UIS,XGDP.FSGOV,Total,Total,Total,Total,Total,Total,0.068723797798157,NA,NA,NA,Total,International Organizations,Organizaciones internacionales,Education,Educación,Total,Total,Total,Total
113,1986,NA,NA,JAM,UNESCO-UIS,XGDP.FSGOV,Total,Total,Total,Total,Total,Total,0.046039800643921,NA,NA,NA,Total,International Organizations,Organizaciones internacionales,Education,Educación,Total,Total,Total,Total
114,1986,NA,NA,ARG,UNESCO-UIS,XGDP.FSGOV,Total,Total,Total,Total,Total,Total,0.01261549949646,NA,NA,NA,Total,International Organizations,Organizaciones internacionales,Education,Educación,Total,Total,Total,Total
115,1986,NA,NA,URY,UNESCO-UIS,XGDP.FSGOV,Total,Total,Total,Total,Total,Total,0.031028299331665,NA,NA,NA,Total,International Organizations,Organizaciones internacionales,Education,Educación,Total,Total,Total,Total
116,1987,NA,NA,ARG,UNESCO-UIS,XGDP.FSGOV,Total,Total,Total,Total,Total,Total,0.012822999954224,NA,NA,NA,Total,International Organizations,Organizaciones internacionales,Education,Educación,Total,Total,Total,Total
117,1987,NA,NA,VEN,UNESCO-UIS,XGDP.FSGOV,Total,Total,Total,Total,Total,Total,0.039275100231171,NA,NA,NA,Total,International Organizations,Organizaciones internacionales,Education,Educación,Total,Total,Total,Total
118,1987,NA,NA,CHL,UNESCO-UIS,XGDP.FSGOV,Total,Total,Total,Total,Total,Total,0.028232901096344,NA,NA,NA,Total,International Organizations,Organizaciones internacionales,Education,Educación,Total,Total,Total,Total
119,1987,NA,NA,NIC,UNESCO-UIS,XGDP.FSGOV,Total,Total,Total,Total,Total,Total,0.053517498970032,NA,NA,NA,Total,International Organizations,Organizaciones internacionales,Education,Educación,Total,Total,Total,Total
120,1987,NA,NA,PAN,UNESCO-UIS,XGDP.FSGOV,Total,Total,Total,Total,Total,Total,0.03870120048523,NA,NA,NA,Total,International Organizations,Organizaciones internacionales,Education,Educación,Total,Total,Total,Total
121,1988,NA,NA,CRI,UNESCO-UIS,XGDP.FSGOV,Total,Total,Total,Total,Total,Total,0.040132298469544,NA,NA,NA,Total,International Organizations,Organizaciones internacionales,Education,Educación,Total,Total,Total,Total
122,1988,NA,NA,JAM,UNESCO-UIS,XGDP.FSGOV,Total,Total,Total,Total,Total,Total,0.039408600330353,NA,NA,NA,Total,International Organizations,Organizaciones internacionales,Education,Educación,Total,Total,Total,Total
123,1988,NA,NA,VEN,UNESCO-UIS,XGDP.FSGOV,Total,Total,Total,Total,Total,Total,0.036294100284576,NA,NA,NA,Total,International Organizations,Organizaciones internacionales,Education,Educación,Total,Total,Total,Total
124,1989,NA,NA,MEX,UNESCO-UIS,XGDP.FSGOV,Total,Total,Total,Total,Total,Total,0.022820100784302,NA,NA,NA,Total,International Organizations,Organizaciones internacionales,Education,Educación,Total,Total,Total,Total
