country,year,formal_1,formal_2,avg_educ_years,employed_agriculture,min_wage,gov_exp_educ,rural_pop,gdp_per_capita,cpi,credit,fdi
DOM,2012,0.326854880953558,0.331274067651999,9.33268464800008,0.135498579950621,280.602017803771,0.03364464980761217,0.327177213232786,6055.971831547952,953.02561170038,381.917715452491,-5.172952589935466
DOM,2013,0.33238881315338,0.33794779608313,9.33519160572226,0.140979838276632,305.148395199601,0.03628,0.326765754902335,6178.790376485672,999.0658117084652,426.8746983905849,-3.171692588495168
DOM,2014,0.366687471058407,0.370651146336067,9.42342610406472,0.144225014819486,296.264505620427,0.03622,0.326552812342469,6541.811604487703,1029.024221356077,472.9549894312899,-3.283347985262348
DOM,2015,0.381136486528032,0.384581520808143,9.62581424977801,0.128703031447668,334.930444423333,0.03604,0.326476705269059,6847.508330513167,1037.634543935186,527.0312660105129,-3.09442184397359
DOM,2016,0.397041144879997,0.398336105144615,9.62967213998705,0.123156412536204,329.610595178407,0.0385,0.326788955977565,7197.953454639096,1054.383688699432,582.5258516180089,-3.176024753588162
DOM,2017,0.398743903501057,0.398597944817196,9.82795333296336,0.098003360544692,382.971599828449,0.0392,0.194548515935489,7521.353999034369,1088.962802207947,614.4824515064606,-4.458821916465003
DOM,2018,0.411657803929507,0.416379509876022,10.1214181776322,0.092020565883071,369.790200554451,0.03918,0.187628353457499,7953.935633121589,1127.778165409974,661.796621809092,-2.960818791226989
DOM,2019,0.438784848785713,0.43892300177388,10.2836982199434,0.087483776801854,363.215689754914,0.04043,0.181198761444623,8181.638756152332,1148.197759394968,717.2072435662698,-3.393176205415493
DOM,2020,0.411779686097157,0.419653626280734,10.158504261233,0.09104770933314,349.981589805582,0.04518,0.175237030905042,7175.023372956913,1191.611481742329,750.5852185530579,-3.243167371895421
DOM,2021,0.397139128615084,0.403976291766484,10.4373262165538,0.075976203688233,323.332460695201,0.03747,0.169710123334244,8496.047312490393,1289.835071883608,734.7426517474529,-3.384362198370923
DOM,2022,0.431129823136021,0.425132521130013,11.6238941542767,0.076263940881163,513.447926472545,0.0394,0.164621923638456,10141.10462890552,1403.484700355448,782.7714661687754,-3.59945961533651
ECU,2003,0.187787745643136,0.178650509148672,8.45571541124901,0.315247205101779,344.65537330972103,NA,0.340167815155799,2438.343684291564,5758.483948719328,77.05165222455294,NA
ECU,2004,0.180442469782443,0.165761528921105,8.48567814464121,0.332672244529328,349.326970612453,NA,0.333282616573109,2703.565670574653,5916.452522497407,100,NA
ECU,2005,0.185520716178873,0.172608704299667,8.65320335616652,0.318412449427558,357.146248919219,NA,0.336668571109918,3014.310009315896,6044.737602458981,116.3760770485608,NA
ECU,2006,0.187070953879658,0.169914576962733,9.0581971675597,0.319268302087023,368.793334132956,0.045028924575219155,0.336983410476322,3340.840902898488,6244.138291187225,130.4339970911491,NA
ECU,2007,0.191340389541516,0.176858135410307,9.12717708736196,0.29980145976439,383.122223275473,0.04449401672069877,0.337376893629884,3579.032243918064,6386.266416614705,148.2243377204082,NA
ECU,2008,0.207441397356683,0.195193197970522,9.23983063255938,0.289621741699251,415.801727243794,0.04395910886617838,0.336944690718332,4260.433183964707,6922.718922586331,160.5150884169154,NA
ECU,2009,0.223434982091978,0.210935989951671,9.33461041232915,0.295815639307589,430.986595380812,0.043424201011658,0.335512769059885,4240.702592715641,7279.9290239229495,154.1973519619555,NA
ECU,2010,0.26153256889137,0.245853901550618,9.4919299384121,0.283717750201311,458.192254211858,0.045074300765991,0.336445808039408,4640.246344378446,7538.685171930737,163.413165753815,NA
ECU,2011,0.299029411120785,0.278881883547666,9.7113204158119,0.283673056550874,482.425724255324,0.047268900871277,0.336203028740931,5202.656459020663,7876.006101929443,195.032318789074,NA
ECU,2012,0.314795215297224,0.291587907491603,9.90103086934504,0.279403289905216,507.691126867223,0.046430702209473,0.336224697318651,5678.455720700034,8277.818022955957,222.137681591877,NA
ECU,2013,0.324430729456533,0.307713803631172,9.8246973983042,0.25449762538967,538.249445428855,0.050046401023865,0.324527090969544,6050.354611327401,8503.121668777492,239.8578362765271,0
ECU,2014,0.341313246527572,0.326793643375211,9.74427494376904,0.251787660943979,555.546928006486,0.052609901428223,0.321746936257221,6374.631485636603,8808.317426466945,253.2793854251588,0
ECU,2015,0.336670984545873,0.323501023120623,10.0192994132356,0.258840860159146,556.354652479425,0.049987001419067,0.32005475847204,6130.586675567683,9157.71221781525,263.5149029343472,0
ECU,2016,0.306965624426337,0.293594788344124,9.99130528625775,0.268594257640799,565.441356731846,0.04363,0.31999380786736,6079.088736120772,9315.98171929015,271.0069113788958,0
ECU,2017,0.387221491130159,0.369752322798442,10.0597597950328,0.273490309031952,576.939104711138,0.04614,0.317517290895306,6246.404252179321,9354.840361319122,310.1177120907607,0
ECU,2018,0.38263162241399,0.354990064046651,10.0114443321635,0.297101410478296,595.19478069684,0.04621,0.317898896748347,6321.349400717174,9333.896080115295,346.2920780260981,0
ECU,2019,0.360130774778331,0.329879907627674,10.079816081876,0.318603455710608,605.91782580781,0.042256598472595,0.316602940706294,6233.258166923628,9358.725411869009,386.1201251400206,0
ECU,2020,0.309340771020036,0.290381563349899,10.1610863608873,0.340295559634843,617.2339058322,0.041140198707581,0.318263100288459,5645.199289653324,9327.011275152472,413.6391868664973,0
ECU,2021,0.303891075460917,0.292812964124852,10.4044808641307,0.317450219447043,616.413039985952,0.036913800239563,0.318264963463401,5965.132870544159,9339.43964695799,457.6700699812161,0
ECU,2022,0.315442841151793,0.299546943920716,10.4696904578991,0.305392295197455,633.002730572198,0.036470398902893,0.318264822432297,6391.282484306427,9663.160476217528,513.0702599580471,0
GTM,2003,0.208977518376638,0.188684554583231,5.32757566366683,0.369791083831308,427.966287673008,0.029959950447083127,0.611347164261191,1856.180010345043,363.8508370960962,166.7031475733585,NA
GTM,2004,0.205920493167124,0.188763771974572,5.34436340228442,0.389030077447194,471.060595709448,0.03008280038833675,0.544711334823631,1967.449187888003,391.4243586482527,168.7539869758554,NA
GTM,2005,0.22180700015230848,0.2031668787768785,5.499828090615315,0.355747810436305,458.373630331785,0.030205650329590376,0.531723534054799,2174.047749869564,427.0910777083256,189.7554563442608,2.0285727146647066
GTM,2006,0.237693507137493,0.217569985579185,5.65529277894621,0.322465543425416,445.686664954122,0.030328500270844,0.518735733285967,2366.645821069828,455.1167359674947,224.4452021366994,1.9499768549474203
GTM,2007,0.22880391512564824,0.21076468865859677,5.739033510479553,0.32719788288338103,449.4408715947085,0.030880899429321,0.517506159605766,2596.273304715376,486.1472986294938,262.0639392751963,1.8713809952301341
GTM,2008,0.2199143231138035,0.2039593917380085,5.822774242012895,0.331930222341346,453.195078235295,0.0323686003685,0.516276585925565,2925.403293465457,541.4229699197678,272.239121567058,1.792785135512848
GTM,2009,0.21102473110195874,0.19715409481742024,5.906514973546237,0.336662561799311,456.9492848758815,0.030427550077438498,0.5150470122453641,2708.767141838657,551.4684007217294,279.5880060338301,1.295556445550463
GTM,2010,0.202135139090114,0.190348797896832,5.99025570507958,0.341394901257276,460.703491516468,0.028486499786377,0.513817438565163,2906.17537601921,572.7559920278619,285.3939311335886,1.467088876557252
GTM,2011,0.189892123194263,0.182866351684069,6.14123442875489,0.37956851084728,493.385539571527,0.029686501026154,0.525748032292868,3261.455851148128,608.2535304846112,309.5538032463887,2.406127956113545
GTM,2012,0.191247191608405,0.178769266288987,7.45214267520843,0.330876049905147,507.492645151569,0.030052499771118,0.509308567708548,3370.896261781599,631.3717756458482,342.8139371272086,2.460916628938418
GTM,2013,0.194133751077939,0.182533340178699,6.37415901910353,0.327838982825803,510.687884276103,0.028880898952484,0.506278560731155,3517.557521132424,658.7945962263353,374.2157235379533,2.737928217481783
GTM,2014,0.220613740009024,0.203680061444389,8.00752134907209,0.327332865929483,518.499632118457,0.029856200218201,0.49973304280762,3773.857069742739,681.3145783632025,400.7660662870076,2.402441194048737
GTM,2015,0.204952786956515,0.187994293454971,6.86100402134117,0.337434441391854,531.730406433485,0.030303299427032,0.502141050721914,3986.835776883484,697.5892781968865,441.3073791369084,1.688707612327796
GTM,2016,0.201373561251625,0.189367452399697,6.74103216922844,0.298443485985196,529.458126490509,0.029447400569916,0.501935976987119,4164.510408913237,728.62113263170545,445.744410045009,1.464051464184109
GTM,2017,0.197562855565165,0.182560967911934,6.85385123976395,0.327310453760098,538.17284740306,0.029500999450684,0.492307625510653,4444.112067773157,760.8592409693198,451.1609699792219,1.306421519743192
GTM,2018,0.19458042309876,0.17987318986623901,6.79866965206472,0.341945662303047,538.174077709332,0.031319398880005,0.555636207524406,4476.056903545867,789.4056286931367,469.0493815478196,1.066195949843472
GTM,2019,0.193476396178281,0.178377585899613,6.81732774321339,0.327068055195329,518.969056499161,0.031929700374603,0.53450006363507,4637.304661195484,818.6135104926801,495.7389629108182,1.034166891661532
GTM,2020,0.1854634890619305,0.170942309710609,6.9384600567293155,0.316185139390314,500.61434729870996,0.032950301170349,0.5692577054974385,4599.457865538295,844.9273557109198,524.0836315493847,1.013264900659334
